Tempo (0.100 seg);PV;SP;MV
42.70;61.14;60.00;40.74
42.80;59.88;60.00;41.79
42.90;59.73;60.00;41.92
43.00;61.19;60.00;40.69
43.10;59.67;60.00;41.96
43.20;59.05;60.00;42.49
43.30;60.18;60.00;41.54
43.40;60.67;60.00;41.12
43.50;59.29;60.00;42.28
43.60;59.88;60.00;41.79
43.70;60.03;60.00;41.66
43.80;59.42;60.00;42.18
43.90;60.58;60.00;41.21
44.00;59.14;60.00;42.42
44.10;59.91;60.00;41.77
44.20;60.99;60.00;40.87
44.30;60.88;60.00;40.95
44.40;61.07;60.00;40.79
44.50;60.23;60.00;41.48
44.60;59.37;60.00;42.21
44.70;59.06;60.00;42.47
44.80;61.21;60.00;40.67
44.90;61.04;60.00;40.80
45.00;59.63;60.00;41.98
45.10;60.27;60.00;41.45
45.20;59.92;60.00;41.74
45.30;59.05;60.00;42.47
45.40;61.17;60.00;40.69
45.50;60.43;60.00;41.31
45.60;59.56;60.00;42.03
45.70;60.22;60.00;41.48
45.80;59.26;60.00;42.29
45.90;59.26;60.00;42.29
46.00;58.85;60.00;42.64
46.10;60.68;60.00;41.11
46.20;58.78;60.00;42.71
46.30;60.90;60.00;40.93
46.40;59.28;60.00;42.29
46.50;60.29;60.00;41.44
46.60;59.45;60.00;42.15
46.70;60.22;60.00;41.50
46.80;59.24;60.00;42.33
46.90;59.40;60.00;42.20
47.00;59.63;60.00;42.01
47.10;60.51;60.00;41.28
47.20;59.01;60.00;42.53
47.30;60.41;60.00;41.36
47.40;59.03;60.00;42.52
47.50;60.22;60.00;41.53
47.60;60.04;60.00;41.68
47.70;60.04;60.00;41.68
47.80;60.46;60.00;41.33
47.90;59.10;60.00;42.47
48.00;60.70;60.00;41.13
48.10;60.86;60.00;40.98
48.20;60.78;60.00;41.05
48.30;59.53;60.00;42.09
48.40;60.55;60.00;41.24
48.50;58.98;60.00;42.55
48.60;60.34;60.00;41.42
48.70;61.34;60.00;40.58
48.80;59.32;60.00;42.26
48.90;59.48;60.00;42.13
49.00;59.64;60.00;42.00
49.10;60.54;60.00;41.25
49.20;60.81;60.00;41.01
49.30;60.54;60.00;41.24
49.40;61.29;60.00;40.60
49.50;60.69;60.00;41.10
49.60;60.02;60.00;41.65
49.70;59.32;60.00;42.24
49.80;60.83;60.00;40.97
49.90;59.16;60.00;42.38
50.00;59.83;60.00;41.82
50.10;60.65;60.00;41.13
50.20;61.07;60.00;40.77
50.30;60.74;60.00;41.04
50.40;61.08;60.00;40.75
50.50;60.04;60.00;41.61
50.60;60.62;60.00;41.13
50.70;60.62;60.00;41.12
50.80;59.91;60.00;41.72
50.90;61.13;60.00;40.69
51.00;61.03;60.00;40.76
51.10;58.94;60.00;42.51
51.20;58.78;60.00;42.66
51.30;60.07;60.00;41.58
51.40;59.21;60.00;42.31
51.50;59.63;60.00;41.95
51.60;60.55;60.00;41.19
51.70;59.78;60.00;41.83
51.80;60.90;60.00;40.88
51.90;60.24;60.00;41.43
52.00;59.57;60.00;42.00
52.10;60.68;60.00;41.06
52.20;60.25;60.00;41.42
52.30;59.33;60.00;42.20
52.40;58.61;60.00;42.81
52.50;59.44;60.00;42.12
52.60;59.42;60.00;42.14
52.70;59.71;60.00;41.90
52.80;59.08;60.00;42.44
52.90;60.49;60.00;41.26
53.00;59.26;60.00;42.28
53.10;60.72;60.00;41.06
53.20;60.44;60.00;41.30
53.30;59.62;60.00;41.98
53.40;59.14;60.00;42.39
53.50;60.61;60.00;41.16
53.60;59.04;60.00;42.48
53.70;59.28;60.00;42.28
53.80;59.74;60.00;41.90
53.90;59.27;60.00;42.29
54.00;60.78;60.00;41.03
54.10;59.58;60.00;42.04
54.20;59.29;60.00;42.28
54.30;60.44;60.00;41.32
54.40;59.02;60.00;42.51
54.50;59.50;60.00;42.12
54.60;60.27;60.00;41.47
54.70;61.16;60.00;40.72
54.80;59.14;60.00;42.41
54.90;59.15;60.00;42.41
55.00;60.44;60.00;41.33
55.10;59.37;60.00;42.22
55.20;60.61;60.00;41.19
55.30;60.36;60.00;41.40
55.40;61.06;60.00;40.80
55.50;60.20;60.00;41.52
55.60;59.83;60.00;41.83
55.70;61.13;60.00;40.73
55.80;59.17;60.00;42.38
55.90;60.34;60.00;41.39
56.00;59.83;60.00;41.83
56.10;59.35;60.00;42.23
56.20;59.15;60.00;42.41
56.30;60.17;60.00;41.56
56.40;60.99;60.00;40.86
56.50;60.12;60.00;41.58
56.60;60.58;60.00;41.19
56.70;60.40;60.00;41.34
56.80;59.15;60.00;42.39
56.90;60.58;60.00;41.20
57.00;60.56;60.00;41.21
57.10;60.14;60.00;41.55
57.20;60.50;60.00;41.25
57.30;59.85;60.00;41.80
57.40;60.84;60.00;40.96
57.50;60.91;60.00;40.90
57.60;60.75;60.00;41.02
57.70;60.93;60.00;40.86
57.80;60.98;60.00;40.82
57.90;60.26;60.00;41.42
58.00;60.44;60.00;41.26
58.10;59.51;60.00;42.04
58.20;61.04;60.00;40.75
58.30;60.98;60.00;40.79
58.40;58.78;60.00;42.64
58.50;60.45;60.00;41.24
58.60;59.76;60.00;41.82
58.70;60.18;60.00;41.47
58.80;59.67;60.00;41.90
58.90;59.73;60.00;41.85
59.00;60.03;60.00;41.60
59.10;58.81;60.00;42.63
59.20;58.66;60.00;42.76
59.30;58.87;60.00;42.60
59.40;60.10;60.00;41.57
59.50;60.54;60.00;41.20
59.60;58.82;60.00;42.64
59.70;59.06;60.00;42.45
59.80;59.31;60.00;42.25
59.90;60.07;60.00;41.62
60.00;60.35;60.00;41.38
60.10;59.13;60.00;42.40
60.20;59.25;60.00;42.31
60.30;59.02;60.00;42.51
60.40;59.96;60.00;41.73
60.50;59.56;60.00;42.06
60.60;60.13;60.00;41.58
60.70;59.37;60.00;42.23
60.80;60.04;60.00;41.67
60.90;60.76;60.00;41.06
61.00;59.94;60.00;41.75
61.10;60.58;60.00;41.21
61.20;61.21;60.00;40.67
61.30;60.33;60.00;41.41
61.40;60.73;60.00;41.06
61.50;60.42;60.00;41.32
61.60;59.69;60.00;41.93
61.70;61.05;60.00;40.79
61.80;60.78;60.00;41.00
61.90;59.59;60.00;42.00
62.00;59.35;60.00;42.21
62.10;61.29;60.00;40.58
62.20;61.27;60.00;40.59
62.30;60.52;60.00;41.21
62.40;59.87;60.00;41.75
62.50;61.04;60.00;40.76
62.60;61.12;60.00;40.69
62.70;60.26;60.00;41.40
62.80;59.43;60.00;42.10
62.90;59.67;60.00;41.90
63.00;59.16;60.00;42.34
63.10;59.11;60.00;42.38
63.20;59.92;60.00;41.71
63.30;59.78;60.00;41.83
63.40;58.75;60.00;42.69
63.50;61.04;60.00;40.78
63.60;60.35;60.00;41.35
63.70;60.62;60.00;41.12
63.80;60.84;60.00;40.93
63.90;58.69;60.00;42.73
64.00;60.03;60.00;41.62
64.10;59.84;60.00;41.77
64.20;59.15;60.00;42.36
64.30;60.34;60.00;41.36
64.40;59.32;60.00;42.22
64.50;58.97;60.00;42.52
64.60;59.84;60.00;41.79
64.70;60.84;60.00;40.96
64.80;60.80;60.00;40.98
64.90;60.92;60.00;40.88
65.00;60.51;60.00;41.22
65.10;59.48;60.00;42.07
65.20;60.88;60.00;40.90
65.30;59.02;60.00;42.46
65.40;60.36;60.00;41.34
65.50;59.90;60.00;41.72
65.60;60.66;60.00;41.08
65.70;60.97;60.00;40.82
65.80;61.06;60.00;40.74
65.90;59.34;60.00;42.17
66.00;60.31;60.00;41.36
66.10;59.17;60.00;42.32
66.20;60.55;60.00;41.16
66.30;61.05;60.00;40.74
66.40;60.70;60.00;41.03
66.50;59.74;60.00;41.83
66.60;58.94;60.00;42.50
66.70;58.97;60.00;42.49
66.80;60.36;60.00;41.33
66.90;60.28;60.00;41.39
67.00;59.78;60.00;41.80
67.10;59.94;60.00;41.67
67.20;59.87;60.00;41.74
67.30;60.03;60.00;41.60
67.40;59.48;60.00;42.06
67.50;59.23;60.00;42.27
67.60;59.14;60.00;42.36
67.70;59.54;60.00;42.03
67.80;60.85;60.00;40.93
67.90;60.51;60.00;41.21
68.00;59.61;60.00;41.96
68.10;59.06;60.00;42.43
68.20;60.45;60.00;41.27
68.30;58.91;60.00;42.56
68.40;59.48;60.00;42.09
68.50;60.95;60.00;40.86
68.60;60.02;60.00;41.63
68.70;58.97;60.00;42.52
68.80;61.03;60.00;40.79
68.90;58.83;60.00;42.64
69.00;58.94;60.00;42.55
69.10;60.33;60.00;41.38
69.20;58.95;60.00;42.55
69.30;59.43;60.00;42.15
69.40;61.20;60.00;40.66
69.50;59.27;60.00;42.29
69.60;59.99;60.00;41.68
69.70;60.11;60.00;41.58
69.80;60.94;60.00;40.88
69.90;61.02;60.00;40.80
70.00;59.56;60.00;42.03
70.10;58.92;60.00;42.57
70.20;59.27;60.00;42.28
70.30;59.97;60.00;41.70
70.40;59.19;60.00;42.36
70.50;61.22;60.00;40.65
70.60;59.68;60.00;41.94
70.70;59.54;60.00;42.06
70.80;60.33;60.00;41.40
70.90;61.31;60.00;40.57
71.00;61.31;60.00;40.56
71.10;59.92;60.00;41.72
71.20;60.59;60.00;41.15
71.30;58.97;60.00;42.52
71.40;59.38;60.00;42.18
71.50;58.99;60.00;42.51
71.60;59.66;60.00;41.96
71.70;60.43;60.00;41.31
71.80;60.26;60.00;41.45
71.90;59.47;60.00;42.12
72.00;60.68;60.00;41.10
72.10;59.36;60.00;42.21
72.20;60.78;60.00;41.01
72.30;60.77;60.00;41.02
72.40;59.85;60.00;41.79
72.50;59.79;60.00;41.84
72.60;61.12;60.00;40.72
72.70;59.08;60.00;42.43
72.80;59.88;60.00;41.76
72.90;59.57;60.00;42.03
73.00;61.08;60.00;40.76
73.10;61.01;60.00;40.81
73.20;59.90;60.00;41.73
